"","X.1","X","level1","level2","level3","level4","select"
"1",26284,26284,"cardiac disorders","heart failures","left ventricular failures","chronic left ventricular failure","VD_HF"
"2",26285,26285,"cardiac disorders","heart failures","left ventricular failures","left ventricular failure","VD_HF"
"3",26286,26286,"cardiac disorders","heart failures","left ventricular failures","acute left ventricular failure","VD_HF"
"4",26287,26287,"cardiac disorders","heart failures","right ventricular failures","chronic right ventricular failure","VD_HF"
"5",26289,26289,"cardiac disorders","heart failures","right ventricular failures","acute right ventricular failure","VD_HF"
"6",26293,26293,"cardiac disorders","heart failures","right ventricular failures","right ventricular failure","VD_HF"
"7",26299,26299,"cardiac disorders","heart failures","heart failure signs and symptoms","cardiac asthma","VD_HF"
"8",26307,26307,"cardiac disorders","heart failures","heart failures nec","cardiopulmonary failure","CAD"
"9",26309,26309,"cardiac disorders","heart failures","heart failures nec","ventricular failure","VD_HF"
"10",26310,26310,"cardiac disorders","heart failures","heart failures nec","cardiac failure congestive","VD_HF"
"11",26313,26313,"cardiac disorders","heart failures","heart failures nec","cardiac failure","VD_HF"
"12",26316,26316,"cardiac disorders","heart failures","heart failures nec","cardiac failure acute","VD_HF"
"13",26321,26321,"cardiac disorders","heart failures","heart failures nec","cardiogenic shock","CAD"
"14",26322,26322,"cardiac disorders","heart failures","heart failures nec","cardiac failure chronic","VD_HF"
"15",26381,26381,"cardiac disorders","cardiac disorder signs and symptoms","cardiac signs and symptoms nec","left ventricular heave","HYPERTROPHY"
"16",26407,26407,"cardiac disorders","cardiac disorder signs and symptoms","cardiac disorders nec","cardiac ventricular disorder","VD_HF"
"17",26409,26409,"cardiac disorders","cardiac disorder signs and symptoms","cardiac disorders nec","oedema due to cardiac disease","VD_HF"
"18",26410,26410,"cardiac disorders","cardiac disorder signs and symptoms","cardiac disorders nec","cardiovascular insufficiency","VD_HF"
"19",26418,26418,"cardiac disorders","cardiac disorder signs and symptoms","cardiac disorders nec","cardiotoxicity","CTOX_UNDEF"
"20",26423,26423,"cardiac disorders","cardiac disorder signs and symptoms","cardiac disorders nec","heart injury","CTOX_UNDEF"
"21",26493,26493,"cardiac disorders","myocardial disorders","myocardial disorders nec","ventricular dyskinesia","VD_HF"
"22",26495,26495,"cardiac disorders","myocardial disorders","myocardial disorders nec","left atrial hypertrophy","HYPERTROPHY"
"23",26497,26497,"cardiac disorders","myocardial disorders","myocardial disorders nec","ventricular hypokinesia","VD_HF"
"24",26501,26501,"cardiac disorders","myocardial disorders","myocardial disorders nec","systolic dysfunction","VD_HF"
"25",26510,26510,"cardiac disorders","myocardial disorders","myocardial disorders nec","myocardial oedema","VD_HF"
"26",26512,26512,"cardiac disorders","myocardial disorders","myocardial disorders nec","right atrial hypertrophy","HYPERTROPHY"
"27",26515,26515,"cardiac disorders","myocardial disorders","myocardial disorders nec","cardiac septal hypertrophy","HYPERTROPHY"
"28",26516,26516,"cardiac disorders","myocardial disorders","myocardial disorders nec","diastolic dysfunction","VD_HF"
"29",26520,26520,"cardiac disorders","myocardial disorders","myocardial disorders nec","myocardial necrosis","MYAC_NECROSIS"
